ranking,EDV,EDM
906,2.2,282478.1399
907,2.2,282207.1657
908,2.2,281936.7496
909,2.2,281666.8898
910,2.2,281397.5847
911,2.2,281128.8323
912,2.2,280860.6311
913,2.2,280592.9792
914,2.2,280325.875
915,2.2,280059.3167
916,2.2,279793.3026
917,2.2,279527.8311
918,2.2,279262.9003
919,2.2,278998.5087
920,2.2,278734.6545
921,2.2,278471.336
922,2.2,278208.5517
923,2.2,277946.2998
924,2.1,277684.5787
925,2.1,277423.3868
926,2.1,277162.7223
927,2.1,276902.5837
928,2.1,276642.9693
929,2.1,276383.8776
930,2.1,276125.3068
931,2.1,275867.2555
932,2.1,275609.722
933,2.1,275352.7046
934,2.1,275096.2019
935,2.1,274840.2123
936,2.1,274584.7341
937,2.1,274329.7658
938,2.1,274075.3058
939,2.1,273821.3526
940,2.1,273567.9047
941,2.1,273314.9605
942,2.1,273062.5184
943,2.1,272810.577
944,2.1,272559.1346
945,2.1,272308.1899
946,2.1,272057.7413
947,2.1,271807.7872
948,2.1,271558.3263
949,2.1,271309.3569
950,2.1,271060.8776
951,2.1,270812.887
952,2.1,270565.3835
953,2,270318.3657
954,2,270071.8322
955,2,269825.7814
956,2,269580.212
957,2,269335.1224
958,2,269090.5113
959,2,268846.3771
960,2,268602.7186
961,2,268359.5342
962,2,268116.8226
963,2,267874.5823
964,2,267632.812
965,2,267391.5102
966,2,267150.6756
967,2,266910.3067
968,2,266670.4022
969,2,266430.9607
970,2,266191.9808
971,2,265953.4612
972,2,265715.4005
973,2,265477.7974
974,2,265240.6504
975,2,265003.9584
976,2,264767.7199
977,2,264531.9335
978,2,264296.5981
979,2,264061.7121
980,2,263827.2745
981,2,263593.2837
982,2,263359.7385
983,2,263126.6377
984,1.9,262893.9799
985,1.9,262661.7638
986,1.9,262429.9881
987,1.9,262198.6516
988,1.9,261967.753
989,1.9,261737.291
990,1.9,261507.2643
991,1.9,261277.6717
992,1.9,261048.512
993,1.9,260819.7838
994,1.9,260591.4859
995,1.9,260363.6172
996,1.9,260136.1763
997,1.9,259909.162
998,1.9,259682.5731
999,1.9,259456.4084
1000,1.9,259230.6667
1001,1.9,259005.3467
1002,1.9,258780.4472
1003,1.9,258555.967
1004,1.9,258331.905
1005,1.9,258108.2599
1006,1.9,257885.0306
1007,1.9,257662.2159
1008,1.9,257439.8145
1009,1.9,257217.8253
1010,1.9,256996.2472
1011,1.9,256775.0789
1012,1.9,256554.3194
1013,1.9,256333.9673
1014,1.9,256114.0217
1015,1.8,255894.4814
1016,1.8,255675.3451
1017,1.8,255456.6118
1018,1.8,255238.2803
1019,1.8,255020.3495
1020,1.8,254802.8183
1021,1.8,254585.6855
1022,1.8,254368.9501
1023,1.8,254152.6108
1024,1.8,253936.6667
1025,1.8,253721.1165
1026,1.8,253505.9592
1027,1.8,253291.1937
1028,1.8,253076.819
1029,1.8,252862.8338
1030,1.8,252649.2371
1031,1.8,252436.0279
1032,1.8,252223.2051
1033,1.8,252010.7675
1034,1.8,251798.7142
1035,1.8,251587.044
1036,1.8,251375.7559
1037,1.8,251164.8488
1038,1.8,250954.3217
1039,1.8,250744.1736
1040,1.8,250534.4033
1041,1.8,250325.0099
1042,1.8,250115.9923
1043,1.8,249907.3495
1044,1.8,249699.0804
1045,1.8,249491.184
1046,1.8,249283.6593
1047,1.7,249076.5053
1048,1.7,248869.7209
1049,1.7,248663.3052
1050,1.7,248457.2572
1051,1.7,248251.5757
1052,1.7,248046.2599
1053,1.7,247841.3088
1054,1.7,247636.7213
1055,1.7,247432.4964
1056,1.7,247228.6332
1057,1.7,247025.1307
1058,1.7,246821.9879
1059,1.7,246619.2039
1060,1.7,246416.7776
1061,1.7,246214.7081
1062,1.7,246012.9944
1063,1.7,245811.6356
1064,1.7,245610.6307
1065,1.7,245409.9788
1066,1.7,245209.6789
1067,1.7,245009.7301
1068,1.7,244810.1313
1069,1.7,244610.8818
1070,1.7,244411.9805
1071,1.7,244213.4265
1072,1.7,244015.2189
1073,1.7,243817.3567
1074,1.7,243619.8391
1075,1.7,243422.665
1076,1.7,243225.8337
1077,1.7,243029.3441
1078,1.7,242833.1954
1079,1.7,242637.3867
1080,1.6,242441.9171
1081,1.6,242246.7856
1082,1.6,242051.9913
1083,1.6,241857.5334
1084,1.6,241663.4111
1085,1.6,241469.6232
1086,1.6,241276.1692
1087,1.6,241083.0479
1088,1.6,240890.2586
1089,1.6,240697.8003
1090,1.6,240505.6722
1091,1.6,240313.8735
1092,1.6,240122.4033
1093,1.6,239931.2606
1094,1.6,239740.4447
1095,1.6,239549.9547
1096,1.6,239359.7897
1097,1.6,239169.9489
1098,1.6,238980.4314
1099,1.6,238791.2365
1100,1.6,238602.3631
1101,1.6,238413.8106
1102,1.6,238225.5781
1103,1.6,238037.6647
1104,1.6,237850.0696
1105,1.6,237662.792
1106,1.6,237475.8311
1107,1.6,237289.186
1108,1.6,237102.856
1109,1.6,236916.8401
1110,1.6,236731.1377
1111,1.6,236545.7478
1112,1.6,236360.6697
1113,1.6,236175.9026
1114,1.5,235991.4456
1115,1.5,235807.2981
1116,1.5,235623.4591
1117,1.5,235439.9279
1118,1.5,235256.7037
1119,1.5,235073.7857
1120,1.5,234891.1732
1121,1.5,234708.8653
1122,1.5,234526.8612
1123,1.5,234345.1602
1124,1.5,234163.7616
1125,1.5,233982.6645
1126,1.5,233801.8681
1127,1.5,233621.3718
1128,1.5,233441.1747
1129,1.5,233261.2761
1130,1.5,233081.6753
1131,1.5,232902.3714
1132,1.5,232723.3637
1133,1.5,232544.6515
1134,1.5,232366.2339
1135,1.5,232188.1104
1136,1.5,232010.2801
1137,1.5,231832.7423
1138,1.5,231655.4963
1139,1.5,231478.5412
1140,1.5,231301.8765
1141,1.5,231125.5013
1142,1.5,230949.4149
1143,1.5,230773.6166
1144,1.5,230598.1057
1145,1.5,230422.8815
1146,1.5,230247.9432
1147,1.5,230073.2902
1148,1.5,229898.9216
1149,1.5,229724.8369
1150,1.4,229551.0352
1151,1.4,229377.5159
1152,1.4,229204.2783
1153,1.4,229031.3217
1154,1.4,228858.6454
1155,1.4,228686.2487
1156,1.4,228514.1308
1157,1.4,228342.2912
1158,1.4,228170.729
